ID,ID список профессий,№ группы,Вес профессии в соответсвии,Уровень должности,Вес профессии в уровне,Наименование професии и различные написания
93,14,4,0,3,1,Заместитель начальника сервисной службы / инженер по гарантии
94,14,4,0,4,1,Инженер по гарантии (региональный руководитель)
95,15,5,1,0,1,Механик по металлоконструкциям
96,16,6,1,0,1,Техник
97,16,6,0,0,0,Механик по металлоконструкциям
98,17,7,1,0,1,Антикоррозийщик
99,17,7,0,1,1,Антикоррозийщик 1 - й разряд
100,17,7,0,2,1,Антикоррозийщик 2 - й разряд
101,17,7,0,3,1,Антикоррозийщик 3 - й разряд
102,17,7,0,4,1,Антикоррозийщик 4 - й разряд
103,18,8,1,0,1,Дизайнер автомобилестроения
104,18,8,0,0,0,Дизайнер средств транспорта
105,19,9,1,0,1,Специалист окрасочного производства
106,20,10,1,0,1,Оператор окрасочно-сушильных линий
107,21,11,1,0,1,Станочник
108,21,11,0,0,0,Разнорабочий-станочник
109,21,11,0,0,0,Станочник широкого профиля
110,21,11,0,0,0,Станочник широкого профиля на токарные и фрезерные станки
111,22,11,1,0,1,Станочник металлообрабатывающих станков
112,23,11,1,0,1,Станочник широкого профиля
113,23,11,0,0,0,Станочник
114,23,11,0,0,0,Станочники и наладчики металлообрабатывающих станков
115,23,11,0,1,1,Станочник широкого профиля (1-й разряд)
116,23,11,0,2,1,Станочник широкого профиля (2-й разряд)
117,23,11,0,2,1,Станочник широкого профиля (3-й разряд)
118,23,11,0,3,1,Станочник широкого профиля (4-й разряд)
119,23,11,0,3,1,Станочник широкого профиля (5-й разряд)
120,23,11,0,4,1,Станочник широкого профиля (6-й разряд)
121,24,12,1,0,1,Наладчик
122,24,12,0,0,0,Наладчик производственного оборудования
123,24,12,0,1,1,"Наладчик, помощник инженера
"
124,24,12,0,2,1,Младший инженер-наладчик
125,24,12,0,3,1,Ведущий инженер-наладчик
126,24,12,0,4,1,Старший инженер-наладчик
127,24,12,0,0,0,Оператор-наладчик
128,24,12,0,0,0,Инженер-наладчик
129,24,12,0,0,0,Наладчик станков 
130,24,12,0,0,0,Наладчик технологического оборудования
131,24,12,0,0,0,Оператор - наладчик
132,24,12,0,0,0,Механик-наладчик 
133,24,12,0,0,0,Оператор наладчик
134,24,12,0,0,0,Механик-наладчик оборудования
135,25,12,1,0,1,Наладчик металлообрабатывающих станков
136,25,12,0,0,0,Оператор - наладчик
137,25,12,0,0,0,Механик-наладчик 
138,25,12,0,0,0,Оператор наладчик
139,25,12,0,0,0,Механик-наладчик оборудования
140,26,12,1,0,1,Наладчик оборудования
141,26,12,0,0,0,Оператор - наладчик
142,26,12,0,0,0,Механик-наладчик 
143,26,12,0,0,0,Оператор наладчик
144,26,12,0,0,0,Наладчик
145,26,12,0,0,0,Механик-наладчик оборудования
146,26,12,0,0,0,Оператор-наладчик
147,26,12,0,0,0,Инженер-наладчик
148,26,12,0,1,1,"Наладчик, помощник инженера"
149,26,12,0,2,1,Младший наладчик оборудования
150,26,12,0,3,1,Старший наладчик оборудования
151,27,12,1,0,1,Наладчик КИПиА
152,27,12,0,0,0,Инженер-наладчик КИПиА 
153,27,12,0,0,0,Слесарь-наладчик КИП и А
154,27,12,0,0,0,Наладчик кипиа 
155,27,12,0,1,1,Наладчик КИПиА стажер 
156,27,12,0,2,1,Ведущий инженер КИПиА
157,27,12,0,3,1,Старший наладчик / слесарь КИПиА
158,28,12,1,0,1,Наладчик производственного оборудования
159,28,12,0,0,0,Инженер-наладчик производственного оборудования
160,28,12,0,0,0,Механик-наладчик производственного оборудования
161,28,12,0,0,0,Оператор производственной линии / Наладчик оборудования
162,29,12,1,0,1,Наладчик станков с ЧПУ
163,29,12,0,0,0,Оператор-наладчик станка ЧПУ
164,29,12,0,0,0,Наладчик - оператор станков с ЧПУ
165,29,12,0,0,0,Наладчик (оператор) станков с ЧПУ
166,30,12,1,0,1,Наладчик шлифовального оборудования
167,30,12,0,1,1,Наладчик шлифовальных станков 1-го разряда
168,30,12,0,2,1,Наладчик шлифовальных станков 2-го разряда
169,30,12,0,2,1,Наладчик шлифовальных станков 3-го разряда
170,30,12,0,3,1,Наладчик шлифовальных станков 4-го разряда
171,30,12,0,3,1,Наладчик шлифовальных станков 5-го разряда
172,30,12,0,4,1,Наладчик шлифовальных станков 6-го разряда
173,31,12,1,0,1,Наладчик-штамповщик
174,31,12,0,0,0,Штамповчик
175,32,13,1,0,1,Оператор
176,33,13,1,0,1,Оператор автоматических и полуавтоматических линий станков и установок
177,33,13,0,0,0,Оператор металлорежущих станков-автоматов
178,33,13,0,1,1,Оператор автоматических и полуавтоматических линий станков и установок 1-го разряда
179,33,13,0,2,1,Оператор автоматических и полуавтоматических линий станков и установок 2-го разряда
180,33,13,0,3,1,Оператор автоматических и полуавтоматических линий станков и установок 3-го разряда
181,33,13,0,4,1,Оператор автоматических и полуавтоматических линий станков и установок 4-го разряда
182,34,13,1,0,1,Оператор металлообрабатывающего оборудования
183,35,13,1,0,1,Оператор лазерного станка
184,36,13,1,0,1,Оператор линии производства
185,37,13,1,0,1,Оператор листогибочного пресса
186,38,13,1,0,1,Оператор станка
187,39,13,1,0,1,Оператор токарного станка
188,40,14,1,0,1,Кладовщик
189,41,14,1,0,1,Кладовщик-грузчик
190,41,14,0,0,0,Кладовщик- грузчик
191,41,14,0,0,0,Кладовщик -грузчик
192,41,14,0,0,0,Кладовщик - грузчик
193,41,14,0,0,0,Кладовщик грузчик
194,42,14,1,0,1,Комплектовщик-транспортировщик
195,42,14,0,0,0,Комплектовщик- транспортировщик
196,42,14,0,0,0,Комплектовщик -транспортировщик
197,42,14,0,0,0,Комплектовщик - транспортировщик
198,42,14,0,0,0,Комплектовщик транспортировщик
199,43,14,1,0,1,Кладовщик-комплектовщик
200,43,14,0,0,0,Кладовщик- комплектовщик
201,43,14,0,0,0,Кладовщик -комплектовщик
202,43,14,0,0,0,Кладовщик комплектовщик
203,43,14,0,0,0,Кладовщик - комплектовщик
204,44,14,1,0,1,Кладовщик-контролер
205,44,14,0,0,0,Кладовщик- контролер
206,44,14,0,0,0,Кладовщик -контролер
207,44,14,0,0,0,Кладовщик контролер
208,44,14,0,0,0,Кладовщик - контролер
209,45,14,1,0,1,Кладовщик-наборщик
210,45,14,0,0,0,Кладовщик -наборщик
211,45,14,0,0,0,Кладовщик- наборщик
212,45,14,0,0,0,Кладовщик - наборщик
213,45,14,0,0,0,Кладовщик наборщик 
214,46,14,1,0,1,Кладовщик-оператор
215,46,14,0,0,0,Кладовщик оператор
216,46,14,0,0,0,Кладовщик -оператор
217,46,14,0,0,0,Кладовщик- оператор
218,46,14,0,0,0,Кладовщик - оператор
219,47,14,1,0,1,Кладовщик-приемщик
220,47,14,0,0,0,Кладовщик- приемщик
221,47,14,0,0,0,Кладовщик -приемщик
222,47,14,0,0,0,Кладовщик - приемщик
223,47,14,0,0,0,Кладовщик приемщик
224,48,14,1,0,1,Кладовщик склада
225,48,14,0,0,0,Кладовщик / сотрудник на склад
226,48,14,0,0,0,Сотрудник на склад
